Designator,Mid X,Mid Y,Layer,Rotation
R67,-73.99,46.1636,top,0
R68,-73.99,44.6136,top,0
R69,-71.613,46.989,top,90
R70,-73.99,43.0136,top,0
R71,-69.2622,46.189,top,0
R72,-69.2622,44.539,top,180
R73,-72.415,49.4874,top,0
R74,-44.0186,5.6918,top,180
R75,52.5112,-16.0458,top,180
R76,52.8672,-17.6182,top,180
R77,56.334,-17.6346,top,180
R78,56.3344,-16.0644,top,180
R79,59.7828,-17.637,top,180
R80,60.029,-16.0504,top,0
R81,62.6122,-10.1238,top,180
R82,62.6382,-8.5272,top,180
R83,19.447266,-24.0206,top,-90
R84,17.705955,-23.9956,top,-90
R85,15.91411,-23.9956,top,-90
R86,-17.2386,-14.2354,top,-90
R87,-120.9986,-14.8654,top,-90
SW1,0.5466,14.8468,top,180
SW2,-38.6838,26.1406,top,180
U1,-5.356,-8.1584,top,90
U2,49.225,42.3144,top,0
U3,96.5954,49.5812,top,180
U4,49.5618,57.2688,top,0
U5,48.004,25.3456,top,90
U6,103.3906,49.4812,top,0
U7,16.2478,-8.293,top,-90
U8,8.6434,57.1076,top,0
U9,-30.7116,-22.2084,top,90
U10,-63.7938,57.8566,top,0
U11,22.7184,21.9916,top,0
U12,-106.435,57.2528,top,0
U13,55.8786,-9.7936,top,90
U14,-63.4622,45.259,top,0
U15,-29.445,10.0398,top,0
U16,-125.4528,-19.1848,top,0
U17,33.0998,-3.405,top,-90
U18,-40.6894,-6.8474,top,180
U19,-114.7138,-16.845,top,-90
U20,41.2934,2.0416,top,90
Y1,-46.4858,9.0306,top,180
Y2,12.8842,11.6634,top,180
Y3,-111.5546,-9.8466,top,0
